                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3524,                 2.8438,                 1.8564,                0.19991,                0.27222,                0.14837,                0.04234,                 2.2693,                 2.7551,                  1.757,               0.070789,              0.0032456,              0.0032456
                      1,                 2.0839,                 2.0473,                 1.6312,                 0.3566,                0.43889,                0.28247,                 0.0976,                 2.1672,                 2.1845,                 1.8087,               0.040529,              0.0063184,              0.0063184
                      2,                 1.9837,                 2.0916,                 1.5803,                0.34733,                0.32225,                0.25845,                0.08813,                   2.35,                  2.429,                 1.7297,               0.010004,              0.0091272,              0.0091272
                      3,                 2.0446,                  2.089,                 1.5237,                0.36057,                0.34444,                0.29263,                0.10888,                 2.2208,                 2.1406,                 1.7284,               0.008812,               0.008812,               0.008812
                      4,                 2.0664,                 2.0262,                 1.5393,                0.37632,                0.39444,                 0.3302,                0.11133,                 2.2095,                 2.4808,                 1.7719,               0.008812,               0.008812,               0.008812
                      5,                 2.0253,                 1.9118,                 1.5751,                0.17346,                0.43333,                0.20253,                0.07931,                  2.178,                 2.2571,                 1.7283,               0.008416,               0.008416,               0.008416
                      6,                 2.0033,                 1.8979,                 1.5614,                 0.3734,                0.35556,                0.33527,                0.11954,                 2.1068,                 2.0802,                 1.7551,                0.00802,                0.00802,                0.00802
                      7,                 2.0536,                 1.8798,                 1.5804,                0.39632,                0.47222,                0.32807,                0.11879,                 2.0619,                 2.0453,                 1.7791,               0.007624,               0.007624,               0.007624
                      8,                 1.9895,                 1.8371,                  1.527,                0.42123,                0.53777,                0.43403,                0.15591,                 2.1142,                  1.855,                 1.7288,               0.007228,               0.007228,               0.007228
                      9,                 1.9259,                 1.7812,                 1.5209,                0.45698,                0.53889,                0.44045,                0.15822,                 2.1116,                 1.7811,                 1.7718,               0.006832,               0.006832,               0.006832
                     10,                 1.9934,                 1.7756,                 1.5772,                0.29694,                0.38889,                0.27587,                0.09431,                 2.1731,                 2.0596,                 1.7613,               0.006436,               0.006436,               0.006436
                     11,                 1.9261,                 1.7005,                 1.5085,                 0.4426,                0.46111,                0.44897,                0.13716,                 2.2425,                 1.8313,                 1.7228,                0.00604,                0.00604,                0.00604
                     12,                 1.8721,                 1.6083,                 1.4681,                0.43034,                   0.55,                 0.4508,                0.15907,                 2.1348,                 1.6959,                 1.6212,               0.005644,               0.005644,               0.005644
                     13,                 1.9004,                  1.605,                 1.4507,                0.51541,                0.47862,                 0.5258,                0.18231,                 2.0479,                 1.6584,                 1.6034,               0.005248,               0.005248,               0.005248
                     14,                 1.8808,                 1.5648,                 1.4319,                0.52494,                0.55556,                0.49099,                0.18075,                 2.0359,                 1.6336,                 1.5845,               0.004852,               0.004852,               0.004852
                     15,                 1.8125,                 1.5196,                 1.4727,                0.60039,                   0.55,                0.56016,                0.19186,                 2.0764,                 1.5962,                 1.5936,               0.004456,               0.004456,               0.004456
                     16,                 1.7958,                 1.4452,                 1.4709,                0.66111,                0.55275,                0.58215,                0.20389,                 1.9955,                 1.5981,                 1.5979,                0.00406,                0.00406,                0.00406
                     17,                 1.6844,                 1.3514,                 1.4059,                0.53739,                0.57778,                0.53995,                 0.1961,                 2.0819,                 1.5688,                 1.6835,               0.003664,               0.003664,               0.003664
                     18,                  1.703,                 1.3326,                 1.4032,                0.61936,                0.56047,                0.61535,                0.23314,                 2.0911,                 1.4832,                 1.6601,               0.003268,               0.003268,               0.003268
                     19,                 1.7155,                 1.2509,                 1.4159,                0.65148,                0.59193,                0.63214,                0.25192,                  2.053,                 1.4251,                 1.6204,               0.002872,               0.002872,               0.002872
                     20,                 1.6828,                 1.1942,                 1.3785,                0.66071,                0.59444,                0.64636,                0.24684,                 2.1041,                 1.4382,                 1.5906,               0.002476,               0.002476,               0.002476
                     21,                 1.6082,                 1.1304,                 1.3311,                 0.6034,                0.62778,                0.66107,                0.26087,                 2.0338,                 1.3825,                 1.5454,                0.00208,                0.00208,                0.00208
                     22,                 1.6256,                 1.1194,                 1.3296,                0.65162,                0.66111,                 0.6841,                0.26074,                 2.0526,                 1.3415,                 1.5832,               0.001684,               0.001684,               0.001684
                     23,                   1.57,                 1.0535,                 1.2973,                0.70581,                0.65556,                0.71481,                0.27309,                 2.0703,                 1.3105,                 1.5448,               0.001288,               0.001288,               0.001288
                     24,                 1.5398,                 1.0334,                 1.2787,                0.65097,                    0.7,                0.71024,                0.27561,                  2.057,                 1.2604,                 1.5464,               0.000892,               0.000892,               0.000892
